age,age_group,gender,weight (kg),height (m),max_BPM,avg_BPM,resting_BPM,session_duration (hours),calories_burned,workout_type,fat_percentage,water_intake (liters),workout_frequency (days/week),experience_level,bmi,bmi_category
34,adult,Female,86.7,1.86,174,152,74,1.12,712,Strength,12.8,2.4,5,2,14.31,underweight
26,young adult,Female,84.7,1.83,166,156,73,1,833,Strength,27.9,2.8,5,2,33.49,obese
22,young adult,Male,64.8,1.85,187,166,64,1.24,1678,Cardio,28.7,1.9,3,2,12.73,underweight
54,senior,Female,75.3,1.82,187,169,58,1.45,628,Cardio,31.8,2.4,4,1,20.37,normal
34,adult,Female,52.8,1.74,177,169,66,1.6,1286,Strength,26.4,3.2,4,2,20.83,normal
38,adult,Female,53,1.58,161,128,74,1.62,953,HIIT,23.4,2.5,2,2,13.02,underweight
44,adult,Female,46.5,1.81,191,142,74,1.46,1238,Cardio,11.9,3.7,2,2,18.12,underweight
50,senior,Female,88.5,1.63,181,136,63,1.63,829,Strength,11.6,1.8,4,2,19.16,normal
18,young adult,Female,82.9,1.54,174,169,64,0.77,802,HIIT,27.8,2.2,3,1,49.84,obese
34,adult,Female,65.9,1.74,195,169,73,2,1231,Yoga,30.5,3.2,5,2,12.32,underweight
39,adult,Female,47,1.78,181,155,55,1.89,747,Yoga,31.7,2.3,3,3,28.39,overweight
46,senior,Male,40,1.88,168,131,69,2,672,NA,25.4,2.4,2,2,12.32,underweight
19,young adult,Male,87.7,1.98,186,145,50,1.61,1705,Strength,14.1,2.3,3,2,15.99,underweight
56,senior,Female,107.4,1.73,176,141,71,0.65,1564,HIIT,26,3,2,3,14.48,underweight
19,young adult,Female,71.7,1.91,197,148,74,1.15,464,Cardio,32.5,2.7,4,2,19.09,normal
30,adult,Female,90.6,1.6,161,125,52,1.03,1410,Yoga,16,3.5,4,2,13.91,underweight
23,young adult,Male,56.2,1.76,195,141,55,1.45,1195,HIIT,23.9,3.2,4,1,22.61,normal
39,adult,Female,71.3,1.77,171,124,74,0.69,871,Cardio,21.9,2.1,5,1,14.31,underweight
54,senior,Female,47.7,1.56,181,128,74,1.5,853,Yoga,26.5,1.5,3,1,23.64,normal
,teen,Male,63,1.51,184,169,71,1.3,1136,Cardio,23.8,2.3,3,2,22.69,normal
26,young adult,Male,129.9,1.71,196,136,74,1.27,931,Yoga,26.6,1.8,5,1,21.04,normal
22,young adult,Female,102.4,1.5,173,156,55,1.44,453,HIIT,17.5,1.6,4,3,18.23,underweight
36,adult,Female,64.2,1.78,192,130,74,1.38,1708,Yoga,31.9,2.1,,1,25.59,overweight
18,young adult,Male,129.4,1.5,177,145,71,0,772,Strength,22,1.7,5,1,18.07,underweight
25,young adult,Male,57.2,1.82,184,140,74,1.15,888,Strength,26.9,2.6,4,2,15.23,underweight
59,senior,Male,71.8,1.5,165,152,74,1.94,758,Yoga,28.9,3.3,3,1,16.87,underweight
18,young adult,Male,112.4,1.71,177,165,55,1.56,1044,HIIT,33.5,1.7,2,2,24.43,normal
18,young adult,Male,40,1.72,188,155,74,1.51,1266,Cardio,26.4,2.5,2,,17.79,underweight
25,young adult,Female,64.3,1.65,183,169,67,1.28,1783,Cardio,20,3.2,2,3,20.59,normal
32,adult,Male,72.4,1.74,189,127,60,1.4,1090,Yoga,16.9,1.6,2,1,17.68,underweight
28,young adult,Male,62.4,1.56,193,141,55,2,861,Cardio,32.2,3.6,3,1,18.61,normal
27,young adult,Female,78.6,1.65,198,127,66,1.61,938,Yoga,26.8,3.1,3,1,17.92,underweight
44,adult,Female,45,1.53,199,158,50,0.7,930,Strength,21.9,3.6,4,1,27.74,overweight
20,young adult,Female,103.4,1.53,180,166,56,1.28,631,HIIT,23,3,4,1,19.18,normal
51,senior,Male,79.2,1.85,178,147,51,1.52,1355,Strength,23.2,2,4,1,18.95,normal
52,senior,Female,40,1.84,182,156,56,1.2,1258,Cardio,25,2,4,2,12.32,underweight
35,adult,Male,75.7,1.61,192,147,52,0.92,1211,Strength,21.2,2.4,3,2,23.19,normal
21,young adult,Male,76.8,1.75,166,125,74,1.56,1152,Strength,25.1,2.7,3,1,16.66,underweight
48,senior,Female,112.6,1.69,160,162,63,0.89,1482,Cardio,22.6,2.5,4,2,12.32,underweight
18,young adult,Male,73.7,1.78,192,154,73,1.18,851,Strength,27.4,2.6,2,2,21.08,normal
18,young adult,Female,84,1.71,194,148,52,0.92,621,Strength,28.3,3.4,3,3,17.99,underweight
28,young adult,Male,68,1.7,174,155,68,0.74,1464,Yoga,17,2.3,3,2,21.67,normal
23,young adult,Male,107.6,1.5,,136,71,1.53,1062,Cardio,10,2.3,5,3,23.77,normal
30,adult,Female,54.3,1.82,185,168,66,1.4,1415,NA,25.4,3.6,3,1,26.4,overweight
18,young adult,Female,42.8,1.89,194,162,73,2,736,NA,22.5,1.5,3,2,18.54,normal
37,adult,,55.4,1.68,197,,52,1.04,338,Cardio,27.4,3.2,,3,17.71,underweight
49,senior,Female,102.4,1.65,185,148,68,1.27,980,Cardio,34.8,2,5,,15.52,underweight
42,adult,Female,95.5,1.95,168,125,72,1.91,632,HIIT,26.1,2,4,1,12.32,underweight
27,young adult,Female,58.7,1.98,199,145,52,2,1119,Cardio,23,2.7,2,3,18.99,normal
